action,month,day,hour,count,sum,average,std,step
FOOD_GROCERIES,1,1,10,33,1419.7,43.0,15.0,0
FOOD_RESTAURANT,1,1,21,19,470.2,24.7,12.0,0
TRANSPORT_PUBLIC,1,1,16,21,192.6,9.2,5.0,0
TRANSPORT_PRIVATE,1,1,8,15,227.5,15.2,8.0,0
HEALTHCARE,1,1,8,6,740.5,123.4,80.0,0
SHOPPING_CLOTHES,1,1,13,10,874.9,87.5,45.0,0
SHOPPING_ELECTRONICS,1,1,17,6,1596.7,266.1,150.0,0
ENTERTAINMENT,1,1,19,13,463.0,35.6,20.0,0
HOUSING,1,1,5,3,4909.1,1636.4,600.0,0
INSURANCE,1,1,1,2,362.2,181.1,100.0,0
EDUCATION,1,1,13,2,956.3,478.2,300.0,0
TRAVEL,1,1,15,4,633.8,158.5,100.0,0
CASH_WITHDRAWAL,1,1,18,3,311.2,103.7,50.0,0
CASH_DEPOSIT,1,1,14,2,942.7,471.4,300.0,0
BANK_TRANSFER,1,1,16,1,1013.9,1013.9,500.0,0
CREDIT_CARD_PAYMENT,1,1,17,4,278.7,69.7,40.0,0
FOOD_GROCERIES,1,2,10,30,1259.6,42.0,15.0,1
FOOD_RESTAURANT,1,2,13,19,496.1,26.1,12.0,1
TRANSPORT_PUBLIC,1,2,8,21,162.6,7.7,5.0,1
TRANSPORT_PRIVATE,1,2,17,13,177.4,13.6,8.0,1
HEALTHCARE,1,2,16,8,991.9,124.0,80.0,1
SHOPPING_CLOTHES,1,2,18,10,824.9,82.5,45.0,1
SHOPPING_ELECTRONICS,1,2,14,5,1305.8,261.2,150.0,1
ENTERTAINMENT,1,2,18,10,330.4,33.0,20.0,1
HOUSING,1,2,5,3,5071.1,1690.4,600.0,1
INSURANCE,1,2,2,1,187.1,187.1,100.0,1
EDUCATION,1,2,12,2,1088.2,544.1,300.0,1
TRAVEL,1,2,12,3,430.6,143.5,100.0,1
CASH_WITHDRAWAL,1,2,14,4,436.2,109.0,50.0,1
CASH_DEPOSIT,1,2,14,2,1042.9,521.5,300.0,1
BANK_TRANSFER,1,2,12,1,1035.1,1035.1,500.0,1
CREDIT_CARD_PAYMENT,1,2,14,3,212.5,70.8,40.0,1
FOOD_GROCERIES,1,3,9,37,1706.3,46.1,15.0,2
FOOD_RESTAURANT,1,3,13,20,519.8,26.0,12.0,2
TRANSPORT_PUBLIC,1,3,6,28,215.4,7.7,5.0,2
TRANSPORT_PRIVATE,1,3,9,22,341.0,15.5,8.0,2
HEALTHCARE,1,3,8,12,1386.9,115.6,80.0,2
SHOPPING_CLOTHES,1,3,17,16,1419.6,88.7,45.0,2
SHOPPING_ELECTRONICS,1,3,17,9,2448.0,272.0,150.0,2
ENTERTAINMENT,1,3,19,20,696.1,34.8,20.0,2
HOUSING,1,3,3,5,9524.8,1905.0,600.0,2
INSURANCE,1,3,5,2,376.1,188.0,100.0,2
EDUCATION,1,3,13,2,1011.7,505.8,300.0,2
TRAVEL,1,3,16,5,816.6,163.3,100.0,2
CASH_WITHDRAWAL,1,3,13,4,368.1,92.0,50.0,2
CASH_DEPOSIT,1,3,12,2,964.1,482.0,300.0,2
BANK_TRANSFER,1,3,15,2,2007.0,1003.5,500.0,2
CREDIT_CARD_PAYMENT,1,3,10,6,411.3,68.5,40.0,2
FOOD_GROCERIES,1,4,16,37,1541.1,41.7,15.0,3
FOOD_RESTAURANT,1,4,11,28,651.4,23.3,12.0,3
TRANSPORT_PUBLIC,1,4,16,30,241.1,8.0,5.0,3
TRANSPORT_PRIVATE,1,4,7,24,325.6,13.6,8.0,3
HEALTHCARE,1,4,17,9,977.3,108.6,80.0,3
SHOPPING_CLOTHES,1,4,14,16,1361.5,85.1,45.0,3
SHOPPING_ELECTRONICS,1,4,12,6,1402.4,233.7,150.0,3
ENTERTAINMENT,1,4,19,17,643.4,37.8,20.0,3
HOUSING,1,4,1,6,11863.6,1977.3,600.0,3
INSURANCE,1,4,4,2,369.8,184.9,100.0,3
EDUCATION,1,4,11,2,1007.3,503.6,300.0,3
TRAVEL,1,4,12,4,608.4,152.1,100.0,3
CASH_WITHDRAWAL,1,4,9,5,507.6,101.5,50.0,3
CASH_DEPOSIT,1,4,16,2,912.0,456.0,300.0,3
BANK_TRANSFER,1,4,12,2,2199.5,1099.8,500.0,3
CREDIT_CARD_PAYMENT,1,4,20,5,374.0,74.8,40.0,3
FOOD_GROCERIES,1,5,9,37,1625.9,43.9,15.0,4
FOOD_RESTAURANT,1,5,11,23,564.8,24.6,12.0,4
TRANSPORT_PUBLIC,1,5,16,37,320.9,8.7,5.0,4
TRANSPORT_PRIVATE,1,5,8,24,376.7,15.7,8.0,4
HEALTHCARE,1,5,8,12,1482.9,123.6,80.0,4
SHOPPING_CLOTHES,1,5,13,14,1171.1,83.7,45.0,4
SHOPPING_ELECTRONICS,1,5,14,8,2067.0,258.4,150.0,4
ENTERTAINMENT,1,5,20,21,735.5,35.0,20.0,4
HOUSING,1,5,2,4,7018.6,1754.6,600.0,4
INSURANCE,1,5,5,3,622.2,207.4,100.0,4
EDUCATION,1,5,8,3,1431.3,477.1,300.0,4
TRAVEL,1,5,9,5,788.7,157.7,100.0,4
CASH_WITHDRAWAL,1,5,14,4,388.1,97.0,50.0,4
CASH_DEPOSIT,1,5,9,2,1026.3,513.1,300.0,4
BANK_TRANSFER,1,5,9,2,1898.0,949.0,500.0,4
CREDIT_CARD_PAYMENT,1,5,17,5,361.0,72.2,40.0,4
FOOD_GROCERIES,1,6,11,59,2842.1,48.2,15.0,5
FOOD_RESTAURANT,1,6,18,36,966.2,26.8,12.0,5
TRANSPORT_PUBLIC,1,6,18,39,348.0,8.9,5.0,5
TRANSPORT_PRIVATE,1,6,17,26,427.9,16.5,8.0,5
HEALTHCARE,1,6,17,16,2069.5,129.3,80.0,5
SHOPPING_CLOTHES,1,6,14,18,1576.5,87.6,45.0,5
SHOPPING_ELECTRONICS,1,6,13,10,2685.9,268.6,150.0,5
ENTERTAINMENT,1,6,20,21,687.0,32.7,20.0,5
HOUSING,1,6,2,8,14412.1,1801.5,600.0,5
INSURANCE,1,6,5,3,638.2,212.7,100.0,5
EDUCATION,1,6,12,4,2091.3,522.8,300.0,5
TRAVEL,1,6,12,7,1116.5,159.5,100.0,5
CASH_WITHDRAWAL,1,6,13,8,833.0,104.1,50.0,5
CASH_DEPOSIT,1,6,8,3,1614.0,538.0,300.0,5
BANK_TRANSFER,1,6,11,3,2900.0,966.7,500.0,5
CREDIT_CARD_PAYMENT,1,6,11,5,388.4,77.7,40.0,5
FOOD_GROCERIES,1,7,18,47,2021.9,43.0,15.0,6
FOOD_RESTAURANT,1,7,12,32,870.1,27.2,12.0,6
TRANSPORT_PUBLIC,1,7,6,40,366.8,9.2,5.0,6
TRANSPORT_PRIVATE,1,7,9,27,389.2,14.4,8.0,6
HEALTHCARE,1,7,11,13,1654.2,127.2,80.0,6
SHOPPING_CLOTHES,1,7,15,17,1377.5,81.0,45.0,6
SHOPPING_ELECTRONICS,1,7,14,11,2631.4,239.2,150.0,6
ENTERTAINMENT,1,7,21,25,832.9,33.3,20.0,6
HOUSING,1,7,5,7,11719.5,1674.2,600.0,6
INSURANCE,1,7,3,2,373.3,186.7,100.0,6
EDUCATION,1,7,9,2,1066.6,533.3,300.0,6
TRAVEL,1,7,11,7,1001.4,143.1,100.0,6
CASH_WITHDRAWAL,1,7,13,6,638.6,106.4,50.0,6
CASH_DEPOSIT,1,7,14,3,1466.0,488.7,300.0,6
BANK_TRANSFER,1,7,15,3,2778.8,926.3,500.0,6
CREDIT_CARD_PAYMENT,1,7,21,6,433.4,72.2,40.0,6
FOOD_GROCERIES,1,8,9,41,1737.7,42.4,15.0,7
FOOD_RESTAURANT,1,8,20,24,570.5,23.8,12.0,7
TRANSPORT_PUBLIC,1,8,7,31,241.0,7.8,5.0,7
TRANSPORT_PRIVATE,1,8,9,20,281.3,14.1,8.0,7
HEALTHCARE,1,8,14,10,1213.7,121.4,80.0,7
SHOPPING_CLOTHES,1,8,19,19,1506.0,79.3,45.0,7
SHOPPING_ELECTRONICS,1,8,17,6,1503.6,250.6,150.0,7
ENTERTAINMENT,1,8,21,21,796.7,37.9,20.0,7
HOUSING,1,8,5,5,8989.6,1797.9,600.0,7
