action,maxCount,minCount,averageAmount,stdAmount,freq
FOOD_GROCERIES,1,1,45.50,15.20,0.25
FOOD_GROCERIES,2,2,52.30,18.40,0.15
FOOD_GROCERIES,3,5,48.70,16.80,0.35
FOOD_GROCERIES,6,10,55.20,20.10,0.20
FOOD_GROCERIES,11,20,62.40,25.30,0.05
FOOD_RESTAURANT,1,1,28.50,12.30,0.40
FOOD_RESTAURANT,2,2,32.80,15.60,0.25
FOOD_RESTAURANT,3,5,35.20,18.90,0.20
FOOD_RESTAURANT,6,10,42.10,22.40,0.10
FOOD_RESTAURANT,11,20,58.70,30.20,0.05
TRANSPORT_PUBLIC,1,1,8.50,2.10,0.60
TRANSPORT_PUBLIC,2,2,9.20,2.80,0.25
TRANSPORT_PUBLIC,3,5,10.40,3.20,0.10
TRANSPORT_PUBLIC,6,10,12.80,4.10,0.05
TRANSPORT_PRIVATE,1,1,65.40,25.60,0.30
TRANSPORT_PRIVATE,2,2,78.90,32.40,0.20
TRANSPORT_PRIVATE,3,5,89.20,38.70,0.25
TRANSPORT_PRIVATE,6,10,125.60,45.20,0.15
TRANSPORT_PRIVATE,11,20,189.40,67.80,0.10
HEALTHCARE,1,1,45.80,18.90,0.50
HEALTHCARE,2,2,52.40,22.30,0.25
HEALTHCARE,3,5,67.80,28.90,0.15
HEALTHCARE,6,10,89.50,35.60,0.07
HEALTHCARE,11,20,156.70,67.40,0.03
SHOPPING_CLOTHES,1,1,89.50,35.60,0.40
SHOPPING_CLOTHES,2,2,112.30,45.80,0.25
SHOPPING_CLOTHES,3,5,134.70,56.20,0.20
SHOPPING_CLOTHES,6,10,189.40,78.90,0.10
SHOPPING_CLOTHES,11,20,267.80,112.40,0.05
SHOPPING_ELECTRONICS,1,1,156.70,67.40,0.35
SHOPPING_ELECTRONICS,2,2,189.40,78.90,0.25
SHOPPING_ELECTRONICS,3,5,234.60,98.70,0.20
SHOPPING_ELECTRONICS,6,10,345.80,145.60,0.15
SHOPPING_ELECTRONICS,11,20,567.90,234.50,0.05
ENTERTAINMENT,1,1,23.40,12.30,0.45
ENTERTAINMENT,2,2,28.90,15.60,0.25
ENTERTAINMENT,3,5,34.20,18.90,0.20
ENTERTAINMENT,6,10,45.60,23.40,0.07
ENTERTAINMENT,11,20,78.90,34.50,0.03
HOUSING,1,1,1250.40,450.60,0.80
HOUSING,2,2,1340.80,520.30,0.15
HOUSING,3,5,1456.70,589.40,0.05
INSURANCE,1,1,89.50,35.60,0.70
INSURANCE,2,2,112.30,45.80,0.20
INSURANCE,3,5,134.70,56.20,0.08
INSURANCE,6,10,189.40,78.90,0.02
EDUCATION,1,1,156.70,67.40,0.30
EDUCATION,2,2,189.40,78.90,0.25
EDUCATION,3,5,234.60,98.70,0.25
EDUCATION,6,10,345.80,145.60,0.15
EDUCATION,11,20,567.90,234.50,0.05
TRAVEL,1,1,234.60,98.70,0.25
TRAVEL,2,2,345.80,145.60,0.20
TRAVEL,3,5,456.70,189.40,0.25
TRAVEL,6,10,678.90,234.50,0.20
TRAVEL,11,20,1234.60,456.70,0.10
CASH_WITHDRAWAL,1,1,200.50,89.40,0.35
CASH_WITHDRAWAL,2,2,250.30,112.60,0.25
CASH_WITHDRAWAL,3,5,300.40,145.80,0.25
CASH_WITHDRAWAL,6,10,400.60,189.20,0.10
CASH_WITHDRAWAL,11,20,600.80,234.50,0.05
CASH_DEPOSIT,1,1,500.40,234.60,0.40
CASH_DEPOSIT,2,2,600.80,289.40,0.25
CASH_DEPOSIT,3,5,750.60,345.80,0.20
CASH_DEPOSIT,6,10,1000.40,456.70,0.10
CASH_DEPOSIT,11,20,1500.60,567.80,0.05
BANK_TRANSFER,1,1,1250.40,450.60,0.50
BANK_TRANSFER,2,2,1500.80,520.30,0.25
BANK_TRANSFER,3,5,2000.60,589.40,0.15
BANK_TRANSFER,6,10,3000.40,678.90,0.07
BANK_TRANSFER,11,20,5000.60,1234.50,0.03
CREDIT_CARD_PAYMENT,1,1,89.50,35.60,0.45
CREDIT_CARD_PAYMENT,2,2,112.30,45.80,0.25
CREDIT_CARD_PAYMENT,3,5,134.70,56.20,0.20
CREDIT_CARD_PAYMENT,6,10,189.40,78.90,0.07
CREDIT_CARD_PAYMENT,11,20,267.80,112.40,0.03
